epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,925.449,0.72658,0.62554,1.11041,0.72854,0.48931,0.58753,0.45927,1.15413,1.54589,1.53588,0.000622615,0.000622615,0.000622615
116,933.349,0.77693,0.62354,1.11563,0.69666,0.52582,0.60704,0.47377,1.10784,1.46946,1.49344,0.000615542,0.000615542,0.000615542
117,941.402,0.80359,0.63187,1.08901,0.73066,0.50912,0.60667,0.45798,1.11396,1.36197,1.50218,0.000608468,0.000608468,0.000608468
118,949.264,0.75602,0.68006,1.17515,0.73776,0.541,0.65679,0.48919,1.14368,1.2211,1.52718,0.000601395,0.000601395,0.000601395
119,957.785,0.75609,0.54344,1.05143,0.73776,0.541,0.65679,0.48919,1.14368,1.2211,1.52718,0.000594321,0.000594321,0.000594321
120,969.536,0.80346,0.57941,1.04298,0.7386,0.62529,0.66923,0.49244,1.12862,1.22145,1.52526,0.000587248,0.000587248,0.000587248
121,978.51,0.7509,0.56932,1.0578,0.88245,0.53283,0.664,0.49293,1.10384,1.27773,1.52168,0.000580174,0.000580174,0.000580174
122,986.429,0.79921,0.55541,1.05944,0.87212,0.54174,0.64655,0.48854,1.12853,1.39325,1.54766,0.0005731,0.0005731,0.0005731
123,994.507,0.81023,0.65529,1.1418,0.87212,0.54174,0.64655,0.48854,1.12853,1.39325,1.54766,0.000566027,0.000566027,0.000566027
124,1002.43,0.76443,0.6413,1.09033,0.88894,0.53046,0.64544,0.48742,1.12037,1.41293,1.53206,0.000558953,0.000558953,0.000558953
125,1010.21,0.80817,0.58176,1.07815,0.89165,0.56348,0.6523,0.48702,1.13926,1.3587,1.56405,0.00055188,0.00055188,0.00055188
126,1018.17,0.79081,0.56894,1.14321,0.8695,0.59666,0.65776,0.48835,1.15409,1.36637,1.58825,0.000544806,0.000544806,0.000544806
127,1026.01,0.78319,0.78862,1.13739,0.8695,0.59666,0.65776,0.48835,1.15409,1.36637,1.58825,0.000537733,0.000537733,0.000537733
128,1034.05,0.72748,0.6225,1.15199,0.83192,0.5712,0.65167,0.47821,1.15609,1.32755,1.59131,0.000530659,0.000530659,0.000530659
129,1041.99,0.6771,0.54988,1.0585,0.71053,0.6518,0.64937,0.47458,1.13503,1.21619,1.56432,0.000523586,0.000523586,0.000523586
130,1049.73,0.74017,0.55361,1.07041,0.6153,0.66365,0.58286,0.43087,1.17494,1.23268,1.57802,0.000516512,0.000516512,0.000516512
131,1057.6,0.78169,0.5754,1.05998,0.6153,0.66365,0.58286,0.43087,1.17494,1.23268,1.57802,0.000509438,0.000509438,0.000509438
132,1065.41,0.70049,0.54118,1.10205,0.7069,0.58949,0.58586,0.43165,1.15135,1.32461,1.54908,0.000502365,0.000502365,0.000502365
133,1073.57,0.69954,0.56296,1.0312,0.75472,0.55221,0.57615,0.43371,1.14587,1.36884,1.55359,0.000495291,0.000495291,0.000495291
134,1081.51,0.63364,0.52298,0.98763,0.76514,0.5603,0.56887,0.42349,1.15331,1.38649,1.56902,0.000488218,0.000488218,0.000488218
135,1089.45,0.79374,0.61685,1.09498,0.76514,0.5603,0.56887,0.42349,1.15331,1.38649,1.56902,0.000481144,0.000481144,0.000481144
